batch_label,model,request_id,ok,elapsed,completion_tokens,tokens_per_second,finish_reason,error
baseline,qwen35-4b,1,True,4.618039833032526,62,13.425609618288306,stop,
baseline,ministral3-3b,1,True,2.531332459009718,58,22.912833829298805,stop,
baseline,phi4-mini,1,True,3.5714963329955935,64,17.919660006012098,length,
load-1,ministral3-3b,1,True,2.2335442500188947,49,21.9382266546031,stop,
load-1,phi4-mini,1,True,3.2495542080141604,59,18.156336599799506,stop,
load-1,qwen35-4b,1,True,4.195617499994114,62,14.777324196041937,stop,
load-2,ministral3-3b,1,True,2.1004160000011325,49,23.328712026557398,stop,
load-2,ministral3-3b,2,True,2.5693423329503275,58,22.57387007413671,stop,
load-2,phi4-mini,1,True,3.21756437496515,59,18.336851457910313,stop,
load-2,phi4-mini,2,True,3.559807749988977,64,17.9784989793896,length,
load-2,qwen35-4b,2,True,8.04941316600889,62,7.7024248502752934,stop,
load-2,qwen35-4b,1,True,8.12217037496157,62,7.633427660065966,stop,
load-3,ministral3-3b,2,True,2.1029180840123445,49,23.300955169165952,stop,
load-3,ministral3-3b,1,True,2.6785631249658763,49,18.293390043075515,stop,
load-3,ministral3-3b,3,True,2.6957400839892216,49,18.176826575761197,stop,
load-3,phi4-mini,1,True,3.242982416995801,59,18.19312978411267,stop,
load-3,phi4-mini,3,True,3.2472364159766585,59,18.16929611583418,stop,
load-3,phi4-mini,2,True,3.7601020829752088,64,17.020814485270442,length,
load-3,qwen35-4b,2,True,4.320773874991573,62,14.349281354169666,stop,
load-3,qwen35-4b,1,True,8.086901292030234,62,7.666719026371938,stop,
load-3,qwen35-4b,3,True,8.112737624964211,62,7.642303112233771,stop,
load-4,ministral3-3b,1,True,2.192912374972366,49,22.344714070309116,stop,
load-4,ministral3-3b,2,True,2.2181755420169793,49,22.090226436923235,stop,
load-4,phi4-mini,3,True,3.2481517500127666,59,18.164175980930725,stop,
load-4,ministral3-3b,3,True,3.351400207960978,58,17.30619931998146,stop,
load-4,ministral3-3b,4,True,3.330846249999013,58,17.41299226886176,stop,
load-4,phi4-mini,2,True,3.470853957987856,59,16.998698508825715,stop,
load-4,phi4-mini,1,True,3.712208917015232,59,15.893502041215507,stop,
load-4,phi4-mini,4,True,3.694764457992278,59,15.968541613627082,stop,
load-4,qwen35-4b,3,True,4.540654833021108,62,13.654418201779176,stop,
load-4,qwen35-4b,4,True,4.570658540993463,62,13.564784908768067,stop,
load-4,qwen35-4b,1,True,7.956457125023007,62,7.792413008172996,stop,
load-4,qwen35-4b,2,True,8.06158720800886,62,7.690793190006742,stop,
load-5,ministral3-3b,1,True,2.3318201249931008,49,21.013627712877287,stop,
load-5,ministral3-3b,4,True,2.3381788340047933,49,20.9564808676647,stop,
load-5,ministral3-3b,5,True,2.8240315839648247,49,17.351080730905284,stop,
